,state,2019
5,Alabama,4903185
6,Alaska,731545
7,Arizona,7278717
8,Arkansas,3017804
9,California,39512223
10,Colorado,5758736
11,Connecticut,3565287
12,Delaware,973764
14,Florida,21477737
15,Georgia,10617423
16,Hawaii,1415872
17,Idaho,1787065
18,Illinois,12671821
19,Indiana,6732219
20,Iowa,3155070
21,Kansas,2913314
22,Kentucky,4467673
23,Louisiana,4648794
24,Maine,1344212
25,Maryland,6045680
26,Massachusetts,6892503
27,Michigan,9986857
28,Minnesota,5639632
29,Mississippi,2976149
30,Missouri,6137428
31,Montana,1068778
32,Nebraska,1934408
33,Nevada,3080156
34,New Hampshire,1359711
35,New Jersey,8882190
36,New Mexico,2096829
37,New York,19453561
38,North Carolina,10488084
39,North Dakota,762062
40,Ohio,11689100
41,Oklahoma,3956971
42,Oregon,4217737
43,Pennsylvania,12801989
44,Rhode Island,1059361
45,South Carolina,5148714
46,South Dakota,884659
47,Tennessee,6829174
48,Texas,28995881
49,Utah,3205958
50,Vermont,623989
51,Virginia,8535519
52,Washington,7614893
53,West Virginia,1792147
54,Wisconsin,5822434
55,Wyoming,578759
