,submission_date,state,new_death,week
0,2021-01-25,Nebraska,15.0,48
2,2020-07-23,Kentucky,7.0,21
4,2020-09-04,North Carolina,24.0,27
5,2021-04-11,New Jersey,11.0,59
7,2020-07-30,Maine,2.0,22
9,2020-07-04,Vermont,0.0,18
10,2020-07-31,North Dakota,0.0,22
12,2020-04-30,Kentucky,5.0,9
13,2021-04-26,Rhode Island,3.0,61
15,2021-02-14,Connecticut,0.0,51
16,2020-05-15,Connecticut,66.0,11
17,2021-04-07,Kentucky,10.0,58
18,2020-06-12,South Carolina,6.0,15
19,2021-03-07,Nebraska,0.0,54
20,2021-03-22,Michigan,18.0,56
22,2020-05-11,Connecticut,41.0,11
23,2020-09-13,Missouri,19.0,29
24,2021-02-27,Louisiana,0.0,52
25,2020-04-23,North Carolina,13.0,8
26,2020-12-27,Alabama,74.0,44
27,2020-03-10,Vermont,0.0,2
28,2020-06-28,Oregon,0.0,18
29,2021-03-09,North Carolina,17.0,54
31,2020-03-09,Wisconsin,0.0,2
32,2020-09-30,Indiana,19.0,31
33,2020-04-24,Alabama,14.0,8
34,2020-03-16,Maine,0.0,3
36,2020-09-24,New Jersey,9.0,30
37,2020-04-24,Maine,3.0,8
38,2020-08-04,Vermont,0.0,23
41,2021-03-02,North Carolina,21.0,53
42,2020-08-23,Illinois,6.0,26
44,2020-08-08,Nevada,30.0,23
45,2020-04-15,Vermont,1.0,7
46,2020-10-06,Louisiana,6.0,32
47,2020-03-10,South Carolina,0.0,2
48,2020-10-30,Washington,7.0,35
49,2020-07-29,South Carolina,50.0,22
50,2020-10-04,Alabama,21.0,32
51,2020-12-05,Nevada,29.0,40
52,2020-05-28,Mississippi,17.0,13
54,2020-04-10,Maine,1.0,6
55,2020-06-18,Illinois,52.0,16
56,2020-12-12,New Jersey,70.0,41
57,2020-03-05,Nevada,0.0,1
58,2020-05-27,Missouri,8.0,13
59,2021-02-08,New Jersey,22.0,50
60,2020-04-23,Delaware,8.0,8
61,2021-03-15,Nevada,3.0,55
62,2020-11-03,North Dakota,12.0,36
64,2020-06-23,Wisconsin,6.0,17
66,2021-02-13,Maryland,26.0,50
67,2020-08-08,Minnesota,9.0,23
68,2020-05-14,Delaware,11.0,11
70,2021-05-30,Delaware,0.0,66
71,2021-05-27,Connecticut,3.0,65
72,2020-04-10,South Carolina,9.0,6
73,2020-08-17,Louisiana,19.0,25
75,2021-04-22,South Carolina,12.0,60
76,2021-04-03,Arizona,2.0,57
77,2020-03-20,Rhode Island,0.0,3
78,2020-06-01,New Jersey,23.0,14
79,2020-04-30,California,79.0,9
81,2020-08-31,Nevada,3.0,27
82,2020-12-07,South Carolina,20.0,41
83,2021-05-21,Arizona,22.0,64
84,2020-12-22,Louisiana,51.0,43
85,2020-04-02,New Hampshire,1.0,5
86,2021-05-01,Wisconsin,19.0,61
87,2020-08-04,Michigan,6.0,23
88,2021-04-24,South Carolina,21.0,60
89,2020-03-15,Rhode Island,0.0,3
90,2021-01-21,Nevada,47.0,47
91,2021-05-26,Kentucky,16.0,65
92,2020-12-06,Kentucky,10.0,41
93,2020-07-03,Washington,10.0,18
94,2020-04-01,North Dakota,0.0,5
95,2021-03-01,South Carolina,18.0,53
96,2020-08-05,New Hampshire,0.0,23
97,2020-07-19,North Dakota,1.0,21
98,2020-04-26,Washington,11.0,9
99,2021-04-23,Vermont,0.0,60
101,2020-12-03,Idaho,23.0,40
103,2020-06-26,Maryland,14.0,17
104,2020-08-22,Wisconsin,14.0,25
105,2020-07-19,Louisiana,34.0,21
106,2020-07-21,Missouri,16.0,21
108,2021-01-03,California,615.0,45
109,2020-05-18,Mississippi,14.0,12
110,2020-07-19,Nebraska,0.0,21
111,2020-04-11,New Hampshire,1.0,6
112,2021-04-03,South Carolina,6.0,57
113,2021-01-06,Alabama,79.0,45
114,2021-04-07,Missouri,3.0,58
115,2020-08-21,Mississippi,27.0,25
116,2020-05-18,Oregon,1.0,12
117,2021-04-21,Wyoming,0.0,60
119,2021-01-03,Rhode Island,17.0,45
120,2021-05-22,Missouri,0.0,64
121,2020-03-06,Nebraska,0.0,1
122,2020-03-25,Connecticut,7.0,4
124,2021-03-07,Arizona,5.0,54
125,2020-03-29,Connecticut,1.0,5
126,2020-09-26,Delaware,2.0,30
127,2020-05-06,New Jersey,305.0,10
128,2020-12-30,Mississippi,71.0,44
130,2020-03-24,New Jersey,17.0,4
131,2020-06-03,South Carolina,6.0,14
132,2020-06-12,Vermont,0.0,15
133,2020-06-09,Minnesota,39.0,15
134,2021-04-16,Illinois,24.0,59
135,2021-05-09,Louisiana,0.0,63
137,2020-04-08,Michigan,153.0,6
138,2021-03-31,Wisconsin,23.0,57
139,2020-10-04,Mississippi,10.0,32
141,2021-04-13,Maryland,15.0,59
142,2021-02-20,Nevada,37.0,51
145,2020-06-11,Connecticut,26.0,15
146,2020-10-08,Montana,4.0,32
147,2020-05-06,Nebraska,4.0,10
148,2020-12-27,Maine,1.0,44
149,2020-04-03,Rhode Island,3.0,5
150,2020-05-02,Washington,6.0,9
152,2020-11-15,Wyoming,0.0,38
153,2021-03-20,Vermont,2.0,55
154,2020-06-06,New Hampshire,5.0,14
155,2021-04-02,Nevada,4.0,57
156,2020-10-14,New Hampshire,2.0,33
157,2020-08-14,North Carolina,24.0,24
158,2021-05-05,Montana,1.0,62
159,2020-03-03,Minnesota,0.0,1
160,2020-06-10,Idaho,0.0,15
161,2020-03-10,Idaho,0.0,2
162,2020-06-16,Missouri,9.0,16
163,2020-06-04,North Dakota,0.0,14
164,2020-09-17,Idaho,5.0,29
165,2021-03-20,Alabama,10.0,55
166,2020-04-09,Michigan,155.0,6
167,2021-01-23,Kentucky,49.0,47
168,2020-04-25,North Dakota,1.0,8
170,2021-05-14,Nebraska,0.0,63
171,2020-11-08,Washington,0.0,37
173,2020-03-29,Idaho,1.0,5
174,2021-01-15,Oregon,21.0,46
175,2020-11-09,Virginia,13.0,37
176,2021-03-02,New Jersey,48.0,53
178,2020-04-12,Vermont,2.0,7
179,2020-10-05,South Carolina,9.0,32
181,2021-02-25,North Dakota,1.0,52
182,2021-04-21,Kentucky,7.0,60
183,2020-12-17,Idaho,28.0,42
184,2020-09-18,South Carolina,18.0,29
185,2020-08-09,Kentucky,1.0,24
186,2021-04-20,Kentucky,7.0,60
187,2020-10-18,Idaho,,34
188,2020-10-28,Indiana,42.0,35
189,2021-04-06,Kentucky,7.0,58
190,2020-08-14,Nebraska,1.0,24
193,2021-02-14,New Hampshire,3.0,51
194,2020-03-22,Missouri,2.0,4
195,2020-08-12,Arizona,148.0,24
196,2020-10-07,Nevada,10.0,32
197,2020-08-15,Louisiana,0.0,24
198,2020-04-04,New Jersey,200.0,5
199,2020-06-12,Nevada,,15
200,2021-01-20,Michigan,53.0,47
201,2020-07-28,North Carolina,32.0,22
202,2020-11-20,Minnesota,68.0,38
203,2020-12-26,Arizona,15.0,43
204,2021-06-06,Arizona,2.0,67
205,2020-03-20,Michigan,4.0,3
206,2020-08-21,Oregon,2.0,25
207,2021-03-30,North Carolina,8.0,57
208,2020-12-06,Washington,0.0,41
209,2021-03-18,Arizona,59.0,55
211,2020-09-26,Michigan,15.0,30
212,2021-01-24,New Jersey,17.0,48
214,2020-11-10,Wyoming,13.0,37
215,2020-11-15,Montana,6.0,38
216,2020-05-30,Nevada,2.0,13
217,2020-03-25,Mississippi,9.0,4
218,2020-09-18,Louisiana,29.0,29
219,2020-04-03,Wyoming,0.0,5
220,2020-12-02,Connecticut,51.0,40
221,2021-04-25,Connecticut,0.0,61
223,2020-05-28,Idaho,0.0,13
224,2020-10-12,North Dakota,12.0,33
225,2020-09-30,North Carolina,32.0,31
227,2020-07-26,Montana,1.0,22
228,2020-06-07,South Carolina,12.0,15
229,2020-09-14,Mississippi,14.0,29
230,2021-01-03,New Jersey,21.0,45
231,2020-09-28,Kentucky,5.0,31
235,2021-03-01,Connecticut,29.0,53
236,2021-01-06,Oregon,8.0,45
237,2020-09-27,Alabama,17.0,31
238,2021-01-12,Delaware,5.0,46
240,2020-06-13,South Carolina,7.0,15
241,2020-07-05,Rhode Island,2.0,19
242,2020-12-31,Idaho,33.0,44
243,2021-05-31,Arizona,0.0,66
244,2020-05-17,Vermont,1.0,12
245,2020-05-27,New Hampshire,9.0,13
246,2020-07-26,Vermont,0.0,22
247,2020-04-03,California,55.0,5
248,2020-06-28,Idaho,0.0,18
249,2020-03-28,Delaware,3.0,4
250,2021-02-09,Wyoming,23.0,50
252,2020-05-26,Wisconsin,3.0,13
253,2021-04-16,Oregon,2.0,59
254,2020-08-22,North Carolina,27.0,25
255,2020-09-09,North Dakota,3.0,28
256,2021-03-10,Alabama,17.0,54
258,2020-07-17,Vermont,0.0,20
260,2020-05-20,Idaho,0.0,12
261,2020-08-13,Vermont,0.0,24
262,2020-11-17,Maryland,19.0,38
263,2020-03-16,Delaware,0.0,3
264,2020-09-30,Minnesota,17.0,31
265,2020-07-03,Minnesota,0.0,18
266,2020-03-19,New Hampshire,0.0,3
267,2020-12-26,Connecticut,0.0,43
268,2021-01-23,Indiana,73.0,47
269,2020-09-07,California,82.0,28
270,2020-08-27,New Jersey,7.0,26
272,2020-06-21,South Carolina,13.0,17
273,2020-04-19,Montana,0.0,8
274,2020-07-06,Connecticut,3.0,19
275,2020-09-11,Arizona,15.0,28
276,2020-05-23,Virginia,12.0,12
277,2020-03-24,Delaware,0.0,4
278,2020-09-30,New Hampshire,0.0,31
279,2021-03-28,Virginia,21.0,57
281,2020-07-15,Michigan,6.0,20
282,2020-09-17,Michigan,14.0,29
283,2021-05-02,Vermont,0.0,62
285,2021-02-02,Nebraska,11.0,49
287,2020-05-30,California,61.0,13
289,2020-05-04,North Dakota,0.0,10
290,2021-02-01,Washington,33.0,49
291,2021-04-15,North Carolina,3.0,59
292,2020-08-15,Connecticut,0.0,24
293,2021-04-27,Virginia,11.0,61
294,2020-03-11,New Jersey,0.0,2
295,2020-04-28,Montana,,9
296,2020-12-30,Idaho,10.0,44
297,2020-04-21,Delaware,17.0,8
298,2020-05-19,Wisconsin,8.0,12
299,2020-10-27,Mississippi,13.0,35
300,2021-01-17,Oregon,1.0,47
301,2021-03-29,South Carolina,9.0,57
303,2021-02-22,California,183.0,52
306,2020-11-23,Kentucky,5.0,39
307,2021-05-06,Illinois,40.0,62
308,2020-06-11,North Dakota,1.0,15
310,2021-06-06,Michigan,0.0,67
311,2020-04-17,Wyoming,0.0,7
312,2020-10-12,Wisconsin,9.0,33
313,2021-01-27,North Dakota,1.0,48
314,2020-07-09,New Hampshire,1.0,19
315,2021-05-05,Mississippi,0.0,62
316,2020-06-16,Wyoming,0.0,16
317,2020-03-09,Rhode Island,0.0,2
318,2020-04-14,Wyoming,0.0,7
319,2020-11-25,New Jersey,67.0,39
320,2020-08-18,Vermont,0.0,25
321,2021-01-03,Kentucky,25.0,45
322,2021-05-07,Oregon,8.0,62
323,2021-06-04,Montana,5.0,66
324,2021-04-02,Rhode Island,0.0,57
325,2020-07-27,Oregon,0.0,22
327,2021-01-30,Connecticut,0.0,48
328,2021-05-11,California,12.0,63
330,2020-06-30,California,94.0,18
331,2021-04-20,Nebraska,0.0,60
332,2020-04-12,Mississippi,15.0,7
333,2020-08-16,Illinois,18.0,25
334,2020-12-09,Louisiana,32.0,41
335,2021-05-03,Michigan,75.0,62
336,2020-10-29,Nebraska,9.0,35
338,2020-10-31,North Dakota,7.0,35
339,2020-07-13,Kentucky,4.0,20
340,2020-10-17,Michigan,26.0,33
341,2020-08-31,Rhode Island,1.0,27
342,2020-07-19,Vermont,0.0,21
343,2020-03-29,Oregon,0.0,5
345,2020-10-24,Connecticut,0.0,34
346,2020-05-29,Wyoming,0.0,13
348,2020-03-18,Wyoming,0.0,3
349,2020-07-09,Wyoming,0.0,19
350,2021-04-12,Wyoming,0.0,59
352,2020-05-09,Nebraska,4.0,10
353,2020-03-10,Nebraska,0.0,2
354,2021-01-01,Wisconsin,12.0,44
356,2020-05-14,Missouri,14.0,11
357,2020-03-10,Maryland,0.0,2
359,2020-09-07,Michigan,8.0,28
360,2020-08-02,Oregon,1.0,23
361,2020-05-30,Wisconsin,20.0,13
362,2020-05-05,Vermont,0.0,10
363,2020-04-22,North Carolina,20.0,8
364,2021-01-16,New Jersey,94.0,46
366,2020-11-28,South Carolina,20.0,39
367,2020-09-18,New Jersey,4.0,29
368,2020-04-03,Mississippi,11.0,5
369,2020-07-31,Vermont,0.0,22
370,2020-03-31,New Hampshire,0.0,5
372,2021-01-12,Wyoming,33.0,46
373,2020-03-18,California,6.0,3
374,2020-12-21,Alabama,65.0,43
376,2020-11-17,Washington,23.0,38
377,2020-09-20,Minnesota,6.0,30
378,2021-03-07,Maine,0.0,54
379,2020-08-18,Nevada,25.0,25
380,2020-07-23,New Jersey,23.0,21
381,2020-05-17,Alabama,12.0,12
383,2020-08-06,Louisiana,50.0,23
384,2020-06-26,Virginia,24.0,17
387,2021-04-11,Arizona,,59
388,2020-03-05,Nebraska,0.0,1
389,2021-04-30,Idaho,1.0,61
390,2020-12-14,Nevada,9.0,42
391,2021-03-08,Illinois,6.0,54
392,2020-11-11,North Dakota,11.0,37
393,2020-11-26,Illinois,156.0,39
394,2020-11-09,Wyoming,0.0,37
395,2020-12-22,Montana,14.0,43
396,2020-05-02,Mississippi,12.0,9
397,2021-02-21,Connecticut,0.0,52
398,2020-06-23,Rhode Island,7.0,17
399,2020-06-06,Mississippi,12.0,14
400,2020-03-24,Maryland,1.0,4
401,2021-05-11,North Carolina,19.0,63
402,2021-04-05,Indiana,6.0,58
404,2020-05-22,New Jersey,142.0,12
405,2020-03-24,Michigan,29.0,4
406,2020-12-14,Mississippi,50.0,42
408,2021-04-13,Vermont,0.0,59
409,2020-03-16,North Carolina,0.0,3
410,2021-01-31,Missouri,21.0,49
411,2020-08-30,Michigan,7.0,27
412,2020-03-10,Connecticut,0.0,2
413,2021-03-08,Michigan,19.0,54
414,2020-04-29,Idaho,0.0,9
415,2020-06-27,Virginia,8.0,17
416,2021-01-24,California,483.0,48
417,2020-03-29,Maryland,7.0,5
418,2020-05-21,Idaho,0.0,12
419,2020-04-13,Oregon,1.0,7
420,2020-07-07,Arizona,117.0,19
421,2020-08-12,Missouri,11.0,24
422,2020-03-29,North Carolina,1.0,5
423,2020-06-27,Michigan,12.0,17
424,2020-05-18,California,72.0,12
425,2020-11-30,Missouri,56.0,40
431,2020-04-10,Nebraska,2.0,6
432,2020-06-15,Montana,0.0,16
433,2020-03-11,Wyoming,0.0,2
434,2020-05-17,North Dakota,1.0,12
436,2021-05-25,Nebraska,0.0,65
437,2020-11-22,North Dakota,6.0,39
438,2021-01-04,Vermont,4.0,45
439,2020-07-10,Connecticut,0.0,19
441,2021-05-20,Oregon,5.0,64
442,2021-04-12,Virginia,20.0,59
443,2020-08-12,Illinois,15.0,24
444,2020-05-17,Rhode Island,10.0,12
445,2020-04-01,Nevada,6.0,5
446,2020-06-22,New Jersey,25.0,17
447,2020-04-20,North Carolina,15.0,8
448,2021-02-18,Connecticut,20.0,51
449,2020-10-16,Maryland,7.0,33
450,2020-07-01,Kentucky,7.0,18
451,2020-10-07,Arizona,20.0,32
452,2020-05-01,Virginia,0.0,9
453,2020-12-15,Connecticut,22.0,42
454,2020-07-09,Missouri,8.0,19
455,2020-12-12,Illinois,165.0,41
456,2020-04-13,Alabama,8.0,7
457,2020-12-26,Washington,0.0,43
458,2021-01-25,Michigan,47.0,48
459,2021-04-05,Minnesota,10.0,58
460,2021-04-21,North Dakota,0.0,60
461,2021-05-27,Mississippi,2.0,65
462,2020-04-18,Maine,3.0,7
463,2021-05-24,South Carolina,3.0,65
465,2020-10-30,New Hampshire,0.0,35
466,2020-10-03,Wisconsin,20.0,31
467,2020-07-28,Arizona,104.0,22
468,2020-09-09,Montana,0.0,28
469,2021-05-26,Delaware,1.0,65
470,2021-05-01,South Carolina,8.0,61
471,2020-12-07,Nebraska,31.0,41
472,2020-05-24,Alabama,18.0,13
474,2020-03-29,Wisconsin,0.0,5
475,2020-07-11,North Carolina,24.0,19
476,2020-07-02,Virginia,30.0,18
477,2020-09-28,Connecticut,2.0,31
478,2020-06-18,Montana,0.0,16
479,2020-12-07,Illinois,100.0,41
480,2020-07-31,Montana,2.0,22
481,2020-12-14,Missouri,64.0,42
483,2020-03-01,New Hampshire,0.0,1
484,2021-02-22,North Carolina,36.0,52
485,2021-04-15,Louisiana,9.0,59
487,2020-03-24,Idaho,0.0,4
488,2021-04-30,Kentucky,4.0,61
489,2020-04-14,Idaho,6.0,7
490,2020-11-20,Oregon,4.0,38
491,2021-06-02,Minnesota,0.0,66
492,2020-11-04,Kentucky,11.0,36
493,2020-03-21,Wisconsin,1.0,3
494,2021-05-24,Missouri,56.0,65
496,2021-05-30,Oregon,2.0,66
498,2021-03-11,New Hampshire,4.0,54
499,2020-04-06,Minnesota,5.0,6
500,2020-11-15,Connecticut,0.0,38
501,2020-07-08,North Carolina,14.0,19
502,2020-06-29,Virginia,23.0,18
504,2020-09-25,Illinois,33.0,30
505,2021-01-13,South Carolina,81.0,46
506,2021-05-20,Connecticut,4.0,64
