"","week","state","incidence","inc_factor"
"1",2020-03-01,"Alabama",0,"0"
"2",2020-03-01,"Alaska",0,"0"
"3",2020-03-01,"Arizona",0,"0"
"4",2020-03-01,"Arkansas",0,"0"
"5",2020-03-01,"California",0.0759258723560049,"0-1"
"6",2020-03-01,"Colorado",0,"0"
"7",2020-03-01,"Connecticut",0,"0"
"8",2020-03-01,"Delaware",0,"0"
"9",2020-03-01,"Florida",0,"0"
"10",2020-03-01,"Georgia",0,"0"
"11",2020-03-01,"Hawaii",0,"0"
"12",2020-03-01,"Idaho",0,"0"
"13",2020-03-01,"Illinois",0,"0"
"14",2020-03-01,"Indiana",0,"0"
"15",2020-03-01,"Iowa",0,"0"
"16",2020-03-01,"Kansas",0,"0"
"17",2020-03-01,"Kentucky",0,"0"
"18",2020-03-01,"Louisiana",0,"0"
"19",2020-03-01,"Maine",0,"0"
"20",2020-03-01,"Maryland",0,"0"
"21",2020-03-01,"Massachusetts",0,"0"
"22",2020-03-01,"Michigan",0.100131602965778,"0-1"
"23",2020-03-01,"Minnesota",0,"0"
"24",2020-03-01,"Mississippi",0.672009365122512,"0-1"
"25",2020-03-01,"Missouri",0,"0"
"26",2020-03-01,"Montana",0,"0"
"27",2020-03-01,"Nebraska",0,"0"
"28",2020-03-01,"Nevada",0,"0"
"29",2020-03-01,"New Hampshire",0,"0"
"30",2020-03-01,"New Jersey",0,"0"
"31",2020-03-01,"New Mexico",0,"0"
"32",2020-03-01,"New York",0,"0"
"33",2020-03-01,"North Carolina",0,"0"
"34",2020-03-01,"North Dakota",0,"0"
"35",2020-03-01,"Ohio",0,"0"
"36",2020-03-01,"Oklahoma",0,"0"
"37",2020-03-01,"Oregon",0,"0"
"38",2020-03-01,"Pennsylvania",0,"0"
"39",2020-03-01,"Rhode Island",0,"0"
"40",2020-03-01,"South Carolina",0,"0"
"41",2020-03-01,"South Dakota",0,"0"
"42",2020-03-01,"Tennessee",0,"0"
"43",2020-03-01,"Texas",0,"0"
"44",2020-03-01,"Utah",0,"0"
"45",2020-03-01,"Vermont",0,"0"
"46",2020-03-01,"Virginia",0,"0"
"47",2020-03-01,"Washington",1.96982413278821,"1-5"
"48",2020-03-01,"West Virginia",0,"0"
"49",2020-03-01,"Wisconsin",0,"0"
"50",2020-03-01,"Wyoming",0,"0"
"51",2020-03-08,"Alabama",0,"0"
"52",2020-03-08,"Alaska",0,"0"
"53",2020-03-08,"Arizona",0,"0"
"54",2020-03-08,"Arkansas",0,"0"
"55",2020-03-08,"California",0.126543120593341,"0-1"
"56",2020-03-08,"Colorado",0,"0"
"57",2020-03-08,"Connecticut",0,"0"
"58",2020-03-08,"Delaware",0,"0"
"59",2020-03-08,"Florida",0.139679520239958,"0-1"
"60",2020-03-08,"Georgia",0.094184813019129,"0-1"
"61",2020-03-08,"Hawaii",0,"0"
"62",2020-03-08,"Idaho",0,"0"
"63",2020-03-08,"Illinois",0,"0"
"64",2020-03-08,"Indiana",0,"0"
"65",2020-03-08,"Iowa",0,"0"
"66",2020-03-08,"Kansas",0.343251705789352,"0-1"
"67",2020-03-08,"Kentucky",0,"0"
"68",2020-03-08,"Louisiana",0,"0"
"69",2020-03-08,"Maine",0,"0"
"70",2020-03-08,"Maryland",0,"0"
"71",2020-03-08,"Massachusetts",0,"0"
"72",2020-03-08,"Michigan",0.100131602965778,"0-1"
"73",2020-03-08,"Minnesota",0,"0"
"74",2020-03-08,"Mississippi",7.05609833378638,"1-10"
"75",2020-03-08,"Missouri",0,"0"
"76",2020-03-08,"Montana",0,"0"
"77",2020-03-08,"Nebraska",0,"0"
"78",2020-03-08,"Nevada",0,"0"
"79",2020-03-08,"New Hampshire",0,"0"
"80",2020-03-08,"New Jersey",0.112584846755136,"0-1"
"81",2020-03-08,"New Mexico",0,"0"
"82",2020-03-08,"New York",0,"0"
"83",2020-03-08,"North Carolina",0.0953462996673177,"0-1"
"84",2020-03-08,"North Dakota",0,"0"
"85",2020-03-08,"Ohio",0,"0"
"86",2020-03-08,"Oklahoma",0,"0"
"87",2020-03-08,"Oregon",0,"0"
"88",2020-03-08,"Pennsylvania",0,"0"
"89",2020-03-08,"Rhode Island",0,"0"
"90",2020-03-08,"South Carolina",0,"0"
"91",2020-03-08,"South Dakota",1.13037905000684,"1-5"
"92",2020-03-08,"Tennessee",0,"0"
"93",2020-03-08,"Texas",0,"0"
"94",2020-03-08,"Utah",0,"0"
"95",2020-03-08,"Vermont",0,"0"
"96",2020-03-08,"Virginia",0,"0"
"97",2020-03-08,"Washington",3.15171861246113,"1-5"
"98",2020-03-08,"West Virginia",0,"0"
"99",2020-03-08,"Wisconsin",0,"0"
"100",2020-03-08,"Wyoming",0,"0"
"101",2020-03-15,"Alabama",0.611847197280951,"0-1"
"102",2020-03-15,"Alaska",1.36696990615752,"1-5"
"103",2020-03-15,"Arizona",0.137386849907752,"0-1"
"104",2020-03-15,"Arkansas",0,"0"
"105",2020-03-15,"California",0.73395009944138,"0-1"
"106",2020-03-15,"Colorado",0.868246087335832,"0-1"
"107",2020-03-15,"Connecticut",1.40241164315804,"1-5"
"108",2020-03-15,"Delaware",0,"0"
"109",2020-03-15,"Florida",0.419038560719875,"0-1"
"110",2020-03-15,"Georgia",1.78951144736345,"1-5"
"111",2020-03-15,"Hawaii",0,"0"
"112",2020-03-15,"Idaho",0,"0"
"113",2020-03-15,"Illinois",0.473491536851728,"0-1"
